dm.old         dm.rot
 0.000030  0.000030
 0.000190  0.000190
 0.000239  0.000239
 0.000190  0.000190
 0.000275  0.000275
 0.000062  0.000062
 0.000063  0.000063
 0.000276  0.000276
 0.000224  0.000224
 0.000030  0.000030
 0.000225  0.000225
 0.000264  0.000264
 0.000201  0.000201
 0.000201  0.000201
 0.000264  0.000264
 0.000160  0.000160
 0.000255  0.000255
 0.000160  0.000160
 0.000354  0.000354
 0.002555  0.002555
 0.001252  0.001252
 0.002551  0.002551
 0.004047  0.004047
 0.013972  0.013972
 0.013971  0.013971
 0.004048  0.004048
 0.001691  0.001691
 0.013079  0.013079
 0.013077  0.013077
 0.001689  0.001689
 0.001645  0.001645
 0.001480  0.001480
 0.001486  0.001486
 0.001646  0.001646
 0.002133  0.002133
 0.001441  0.001441
 0.002134  0.002134
 0.000004  0.000004
 0.000001  0.000001
 0.000002  0.000002
 0.000001  0.000001
 0.000001  0.000001
 0.000000  0.000000
 0.000001  0.000001
 0.000000  0.000000
 0.000002  0.000002
 0.000004  0.000004
 0.000002  0.000002
 0.000001  0.000001
 0.000001  0.000001
 0.000000  0.000000
 0.000002  0.000002
 0.000001  0.000001
 0.000001  0.000001
 0.000001  0.000001
 0.000001  0.000001
 0.000005  0.000005
 0.000001  0.000001
 0.000003  0.000003
 0.000002  0.000002
 0.000007  0.000007
 0.000007  0.000007
 0.000001  0.000001
 0.000002  0.000002
 0.000005  0.000005
 0.000006  0.000006
 0.000006  0.000006
 0.000001  0.000001
 0.000021  0.000021
 0.000021  0.000021
 0.000005  0.000005
 0.000002  0.000002
 0.000003  0.000003
 0.000008  0.000008
 0.000001  0.000001
 0.000030  0.000030
 0.000217  0.000217
 0.000275  0.000275
 0.000320  0.000320
 0.000223  0.000223
 0.000331  0.000331
 0.000090  0.000090
 0.000057  0.000057
 0.000179  0.000179
 0.000290  0.000290
 0.000057  0.000057
 0.000214  0.000214
 0.000253  0.000253
 0.000023  0.000023
 0.000090  0.000090
 0.000214  0.000214
 0.000290  0.000290
 0.000330  0.000330
 0.000022  0.000022
 0.000423  0.000423
 0.001384  0.001384
 0.001654  0.001654
 0.002500  0.002500
 0.004735  0.004735
 0.005150  0.005150
 0.002004  0.002004
 0.001268  0.001268
 0.000724  0.000724
 0.005149  0.005149
 0.001652  0.001652
 0.000001  0.000001
 0.000722  0.000722
 0.004737  0.004737
 0.001381  0.001381
 0.001267  0.001267
 0.002499  0.002499
 0.000421  0.000421
 0.000001  0.000001
 0.000000  0.000000
 0.000001  0.000001
 0.000001  0.000001
 0.000000  0.000000
 0.000001  0.000001
 0.000001  0.000001
 0.000000  0.000000
 0.000001  0.000001
 0.000004  0.000004
 0.000001  0.000001
 0.000001  0.000001
 0.000000  0.000000
 0.000004  0.000004
 0.000002  0.000002
 0.000001  0.000001
 0.000001  0.000001
 0.000000  0.000000
 0.000000  0.000000
 0.000001  0.000001
 0.000003  0.000003
 0.000001  0.000001
 0.000003  0.000003
 0.000002  0.000002
 0.000003  0.000003
 0.000004  0.000004
 0.000001  0.000001
 0.000001  0.000001
 0.000005  0.000005
 0.000004  0.000004
 0.000003  0.000003
 0.000001  0.000001
 0.000005  0.000005
 0.000003  0.000003
 0.000001  0.000001
 0.000002  0.000002
 0.000002  0.000002
 0.000003  0.000003
 0.000190  0.000190
 0.000217  0.000217
 0.000048  0.000048
 0.000272  0.000272
 0.000065  0.000065
 0.000085  0.000085
 0.000319  0.000319
 0.000207  0.000207
 0.000277  0.000277
 0.000320  0.000320
 0.000065  0.000065
 0.000205  0.000205
 0.000185  0.000185
 0.000127  0.000127
 0.000037  0.000037
 0.000063  0.000063
 0.000023  0.000023
 0.000070  0.000070
 0.000046  0.000046
 0.002051  0.002051
 0.000608  0.000608
 0.001159  0.001159
 0.000986  0.000986
 0.001829  0.001829
 0.001056  0.001056
 0.000188  0.000188
 0.002977  0.002977
 0.000423  0.000423
 0.001068  0.001068
 0.000092  0.000092
 0.000446  0.000446
 0.000720  0.000720
 0.000545  0.000545
 0.001040  0.001040
 0.000270  0.000270
 0.000233  0.000233
 0.000488  0.000488
 0.000001  0.000001
 0.000000  0.000000
 0.000001  0.000001
 0.000001  0.000001
 0.000000  0.000000
 0.000002  0.000002
 0.000000  0.000000
 0.000000  0.000000
 0.000000  0.000000
 0.000001  0.000001
 0.000000  0.000000
 0.000000  0.000000
 0.000000  0.000000
 0.000001  0.000001
 0.000000  0.000000
 0.000000  0.000000
 0.000000  0.000000
 0.000001  0.000001
 0.000000  0.000000
 0.000001  0.000001
 0.000004  0.000004
 0.000003  0.000003
 0.000001  0.000001
 0.000004  0.000004
 0.000001  0.000001
 0.000001  0.000001
 0.000001  0.000001
 0.000001  0.000001
 0.000003  0.000003
 0.000000  0.000000
 0.000000  0.000000
 0.000003  0.000003
 0.000002  0.000002
 0.000000  0.000000
 0.000001  0.000001
 0.000002  0.000002
 0.000000  0.000000
 0.000000  0.000000
 0.000239  0.000239
 0.000275  0.000275
 0.000048  0.000048
 0.000048  0.000048
 0.000306  0.000306
 0.000074  0.000074
 0.000074  0.000074
 0.000306  0.000306
 0.000216  0.000216
 0.000275  0.000275
 0.000216  0.000216
 0.000162  0.000162
 0.000169  0.000169
 0.000170  0.000170
 0.000163  0.000163
 0.000035  0.000035
 0.000071  0.000071
 0.000034  0.000034
 0.000028  0.000028
 0.000662  0.000662
 0.002036  0.002036
 0.000661  0.000661
 0.000949  0.000949
 0.001117  0.001117
 0.001116  0.001116
 0.000948  0.000948
 0.000622  0.000622
 0.002593  0.002593
 0.002592  0.002592
 0.000622  0.000622
 0.000891  0.000891
 0.000696  0.000696
 0.000697  0.000697
 0.000891  0.000891
 0.000176  0.000176
 0.000093  0.000093
 0.000176  0.000176
 0.000001  0.000001
 0.000000  0.000000
 0.000000  0.000000
 0.000001  0.000001
 0.000002  0.000002
 0.000000  0.000000
 0.000001  0.000001
 0.000000  0.000000
 0.000001  0.000001
 0.000001  0.000001
 0.000001  0.000001
 0.000000  0.000000
 0.000000  0.000000
 0.000001  0.000001
 0.000000  0.000000
 0.000000  0.000000
 0.000000  0.000000
 0.000000  0.000000
 0.000000  0.000000
 0.000002  0.000002
 0.000000  0.000000
 0.000004  0.000004
 0.000002  0.000002
 0.000004  0.000004
 0.000004  0.000004
 0.000001  0.000001
 0.000001  0.000001
 0.000001  0.000001
 0.000001  0.000001
 0.000001  0.000001
 0.000000  0.000000
 0.000003  0.000003
 0.000003  0.000003
 0.000001  0.000001
 0.000001  0.000001
 0.000002  0.000002
 0.000002  0.000002
 0.000000  0.000000
 0.000190  0.000190
 0.000320  0.000320
 0.000272  0.000272
 0.000048  0.000048
 0.000207  0.000207
 0.000320  0.000320
 0.000085  0.000085
 0.000065  0.000065
 0.000065  0.000065
 0.000217  0.000217
 0.000277  0.000277
 0.000037  0.000037
 0.000127  0.000127
 0.000185  0.000185
 0.000205  0.000205
 0.000070  0.000070
 0.000023  0.000023
 0.000063  0.000063
 0.000045  0.000045
 0.001159  0.001159
 0.000607  0.000607
 0.002051  0.002051
 0.000188  0.000188
 0.001057  0.001057
 0.001830  0.001830
 0.000985  0.000985
 0.000092  0.000092
 0.001066  0.001066
 0.000422  0.000422
 0.002978  0.002978
 0.001039  0.001039
 0.000544  0.000544
 0.000721  0.000721
 0.000446  0.000446
 0.000487  0.000487
 0.000232  0.000232
 0.000270  0.000270
 0.000001  0.000001
 0.000001  0.000001
 0.000000  0.000000
 0.000000  0.000000
 0.000000  0.000000
 0.000002  0.000002
 0.000000  0.000000
 0.000001  0.000001
 0.000000  0.000000
 0.000001  0.000001
 0.000000  0.000000
 0.000001  0.000001
 0.000000  0.000000
 0.000001  0.000001
 0.000000  0.000000
 0.000001  0.000001
 0.000001  0.000001
 0.000000  0.000000
 0.000000  0.000000
 0.000001  0.000001
 0.000004  0.000004
 0.000000  0.000000
 0.000004  0.000004
 0.000001  0.000001
 0.000004  0.000004
 0.000004  0.000004
 0.000001  0.000001
 0.000001  0.000001
 0.000004  0.000004
 0.000003  0.000003
 0.000001  0.000001
 0.000002  0.000002
 0.000002  0.000002
 0.000002  0.000002
 0.000000  0.000000
 0.000001  0.000001
 0.000002  0.000002
 0.000002  0.000002
 0.000275  0.000275
 0.000223  0.000223
 0.000065  0.000065
 0.000306  0.000306
 0.000207  0.000207
 0.000057  0.000057
 0.000267  0.000267
 0.000176  0.000176
 0.000031  0.000031
 0.000057  0.000057
 0.000032  0.000032
 0.000305  0.000305
 0.000226  0.000226
 0.000152  0.000152
 0.000059  0.000059
 0.000210  0.000210
 0.000179  0.000179
 0.000020  0.000020
 0.000031  0.000031
 0.002067  0.002067
 0.001083  0.001083
 0.003259  0.003259
 0.002433  0.002433
 0.000626  0.000626
 0.002955  0.002955
 0.000903  0.000903
 0.001067  0.001067
 0.001535  0.001535
 0.000620  0.000620
 0.000246  0.000246
 0.000414  0.000414
 0.001589  0.001589
 0.001785  0.001785
 0.000222  0.000222
 0.000516  0.000516
 0.001156  0.001156
 0.001237  0.001237
 0.000000  0.000000
 0.000000  0.000000
 0.000000  0.000000
 0.000001  0.000001
 0.000000  0.000000
 0.000002  0.000002
 0.000002  0.000002
 0.000000  0.000000
 0.000000  0.000000
 0.000001  0.000001
 0.000000  0.000000
 0.000000  0.000000
 0.000001  0.000001
 0.000001  0.000001
 0.000000  0.000000
 0.000000  0.000000
 0.000001  0.000001
 0.000000  0.000000
 0.000000  0.000000
 0.000000  0.000000
 0.000002  0.000002
 0.000002  0.000002
 0.000002  0.000002
 0.000004  0.000004
 0.000003  0.000003
 0.000001  0.000001
 0.000000  0.000000
 0.000002  0.000002
 0.000002  0.000002
 0.000001  0.000001
 0.000000  0.000000
 0.000002  0.000002
 0.000001  0.000001
 0.000000  0.000000
 0.000000  0.000000
 0.000001  0.000001
 0.000001  0.000001
 0.000000  0.000000
 0.000062  0.000062
 0.000331  0.000331
 0.000085  0.000085
 0.000074  0.000074
 0.000320  0.000320
