   #Iter           <M>_x           <M>_y           <M>_z             <M>        M_{stdv}
       0  0.00000000E+00  0.00000000E+00  2.60303542E+00  2.60303542E+00  0.00000000E+00
     100  9.56031108E-04 -9.68332112E-04  2.60660451E+00  2.60660487E+00  0.00000000E+00
     200  3.91945338E-04 -1.48325816E-04  2.61323821E+00  2.61323824E+00  0.00000000E+00
     300  5.52795730E-04 -1.12844055E-04  2.61709910E+00  2.61709916E+00  0.00000000E+00
     400  6.31959932E-04 -3.99927833E-05  2.62005030E+00  2.62005037E+00  0.00000000E+00
     500  6.82502062E-04  8.64496966E-05  2.62325850E+00  2.62325859E+00  0.00000000E+00
     600  7.15527895E-04  2.22560490E-04  2.62694949E+00  2.62694960E+00  0.00000000E+00
     700  7.37264727E-04  3.39372150E-04  2.63097195E+00  2.63097208E+00  0.00000000E+00
     800  7.43334607E-04  4.38227668E-04  2.63512316E+00  2.63512330E+00  0.00000000E+00
     900  7.33174852E-04  5.09672684E-04  2.63923855E+00  2.63923870E+00  0.00000000E+00
    1000  7.14175627E-04  5.56761793E-04  2.64321279E+00  2.64321295E+00  0.00000000E+00
    1100  6.73012443E-04  5.94504482E-04  2.64698699E+00  2.64698714E+00  0.00000000E+00
    1200  6.23118385E-04  6.14297897E-04  2.65052775E+00  2.65052789E+00  0.00000000E+00
    1300  5.61736338E-04  6.24964244E-04  2.65382788E+00  2.65382801E+00  0.00000000E+00
    1400  4.91289512E-04  6.16534319E-04  2.65688769E+00  2.65688780E+00  0.00000000E+00
    1500  4.24671245E-04  6.16276374E-04  2.65971753E+00  2.65971764E+00  0.00000000E+00
    1600  3.44694201E-04  6.08655400E-04  2.66233393E+00  2.66233402E+00  0.00000000E+00
    1700  2.64037579E-04  5.96049089E-04  2.66474957E+00  2.66474965E+00  0.00000000E+00
    1800  1.81069931E-04  5.74088319E-04  2.66697881E+00  2.66697887E+00  0.00000000E+00
    1900  8.81136824E-05  5.60769251E-04  2.66903341E+00  2.66903347E+00  0.00000000E+00
    2000  9.53216013E-07  5.30821053E-04  2.67092625E+00  2.67092630E+00  0.00000000E+00
    2100 -7.45217038E-05  5.01686989E-04  2.67266630E+00  2.67266635E+00  0.00000000E+00
    2200 -1.43662517E-04  4.68106048E-04  2.67426279E+00  2.67426283E+00  0.00000000E+00
    2300 -2.11142053E-04  4.33244315E-04  2.67572326E+00  2.67572330E+00  0.00000000E+00
    2400 -2.68102288E-04  4.01109863E-04  2.67705523E+00  2.67705528E+00  0.00000000E+00
    2500 -3.13624738E-04  3.78372609E-04  2.67826405E+00  2.67826410E+00  0.00000000E+00
    2600 -3.50376485E-04  3.45882549E-04  2.67935767E+00  2.67935772E+00  0.00000000E+00
    2700 -3.85092061E-04  2.99441700E-04  2.68033733E+00  2.68033737E+00  0.00000000E+00
    2800 -4.04915978E-04  2.53003901E-04  2.68120936E+00  2.68120941E+00  0.00000000E+00
    2900 -4.18262081E-04  2.20744293E-04  2.68197885E+00  2.68197889E+00  0.00000000E+00
    3000 -4.31533873E-04  1.81094803E-04  2.68264973E+00  2.68264977E+00  0.00000000E+00
    3100 -4.30465695E-04  1.50278673E-04  2.68322361E+00  2.68322365E+00  0.00000000E+00
    3200 -4.23166055E-04  1.14763064E-04  2.68370649E+00  2.68370652E+00  0.00000000E+00
    3300 -4.09156968E-04  8.41323948E-05  2.68410139E+00  2.68410143E+00  0.00000000E+00
    3400 -3.99810948E-04  5.30973480E-05  2.68441288E+00  2.68441291E+00  0.00000000E+00
    3500 -3.78668071E-04  2.85770045E-05  2.68464356E+00  2.68464358E+00  0.00000000E+00
    3600 -3.59492749E-04 -5.27305214E-06  2.68479802E+00  2.68479804E+00  0.00000000E+00
    3700 -3.37211435E-04 -2.92569129E-05  2.68488179E+00  2.68488181E+00  0.00000000E+00
    3800 -3.22006516E-04 -5.09003136E-05  2.68489743E+00  2.68489745E+00  0.00000000E+00
    3900 -2.88280804E-04 -6.90023776E-05  2.68485004E+00  2.68485006E+00  0.00000000E+00
    4000 -2.72036818E-04 -8.57717707E-05  2.68474212E+00  2.68474214E+00  0.00000000E+00
    4100 -2.45150384E-04 -1.01088605E-04  2.68458147E+00  2.68458148E+00  0.00000000E+00
    4200 -2.18173691E-04 -1.14123195E-04  2.68436932E+00  2.68436933E+00  0.00000000E+00
    4300 -1.92338397E-04 -1.29575740E-04  2.68411312E+00  2.68411313E+00  0.00000000E+00
    4400 -1.64426577E-04 -1.42831834E-04  2.68381514E+00  2.68381515E+00  0.00000000E+00
    4500 -1.42716161E-04 -1.46509862E-04  2.68347963E+00  2.68347964E+00  0.00000000E+00
    4600 -1.19609515E-04 -1.46211985E-04  2.68311212E+00  2.68311213E+00  0.00000000E+00
    4700 -9.71940284E-05 -1.48887478E-04  2.68271520E+00  2.68271521E+00  0.00000000E+00
    4800 -7.41075802E-05 -1.53309924E-04  2.68229204E+00  2.68229204E+00  0.00000000E+00
    4900 -5.68132617E-05 -1.39974363E-04  2.68184794E+00  2.68184794E+00  0.00000000E+00
    5000 -3.94339325E-05 -1.37128053E-04  2.68138773E+00  2.68138774E+00  0.00000000E+00
    5100 -1.83692005E-05 -1.28282753E-04  2.68091150E+00  2.68091150E+00  0.00000000E+00
