  # Iter       rSk_x     rSk_y     rSk_z
       0               NaN             NaN             NaN
     100       23.04443931     11.58345654     -0.00000000
     200       23.11754844     11.58143052     -0.00000000
     300       23.20280516     11.58554945     -0.00000000
     400       23.29058985     11.58722647     -0.00000000
     500       23.37928795     11.58833359     -0.00000000
     600       23.46821051     11.58929648     -0.00000000
     700       23.55695788     11.59011887     -0.00000000
     800       23.64540630     11.59075817     -0.00000000
     900       23.73348493     11.59122235     -0.00000000
    1000       23.82121169     11.59151523     -0.00000000
    1100       23.90853179     11.59157925     -0.00000000
    1200       23.99555416     11.59159202     -0.00000000
    1300       24.08230039     11.59150497     -0.00000000
    1400       24.16874528     11.59138356     -0.00000000
    1500       24.25499878     11.59122436     -0.00000000
    1600       24.34100853     11.59101958     -0.00000000
    1700       24.42681335     11.59084346     -0.00000000
    1800       24.51248131     11.59061763     -0.00000000
    1900       24.59804438     11.59036353     -0.00000000
    2000       24.68350725     11.59016670     -0.00000000
    2100       24.76889839     11.58997845     -0.00000000
    2200       24.85423021     11.58978168     -0.00000000
    2300       24.93955455     11.58958914     -0.00000000
    2400       25.02488906     11.58934968     -0.00000000
    2500       25.11018990     11.58909983     -0.00000000
    2600       25.19547422     11.58880477     -0.00000000
    2700       25.28076415     11.58850627     -0.00000000
    2800       25.36603640     11.58821121     -0.00000000
    2900       25.45133846     11.58787486     -0.00000000
    3000       25.53665545     11.58757439     -0.00000000
    3100       25.62195958     11.58720269     -0.00000000
    3200       25.70726410     11.58687507     -0.00000000
    3300       25.79258161     11.58651974     -0.00000000
    3400       25.87789272     11.58616460     -0.00000000
    3500       25.96320006     11.58582447     -0.00000000
    3600       26.04849189     11.58549676     -0.00000000
    3700       26.13379856     11.58513430     -0.00000000
    3800       26.21911288     11.58481765     -0.00000000
    3900       26.30444003     11.58447299     -0.00000000
    4000       26.38978953     11.58418713     -0.00000000
    4100       26.47511816     11.58390529     -0.00000000
    4200       26.56046068     11.58363042     -0.00000000
    4300       26.64582111     11.58341617     -0.00000000
    4400       26.73119640     11.58319368     -0.00000000
    4500       26.81654864     11.58298242     -0.00000000
    4600       26.90191343     11.58275300     -0.00000000
    4700       26.98728981     11.58253827     -0.00000000
    4800       27.07270624     11.58235625     -0.00000000
    4900       27.15808816     11.58218513     -0.00000000
    5000       27.24346849     11.58200708     -0.00000000
    5100       27.32889135     11.58187629     -0.00000000
    5200       27.41428774     11.58172628     -0.00000000
    5300       27.49971292     11.58158184     -0.00000000
    5400       27.58513660     11.58145979     -0.00000000
    5500       27.67057108     11.58135351     -0.00000000
    5600       27.75602615     11.58125481     -0.00000000
    5700       27.84147986     11.58115539     -0.00000000
    5800       27.92698675     11.58105384     -0.00000000
    5900       28.01247479     11.58096425     -0.00000000
    6000       28.09796851     11.58085181     -0.00000000
    6100       28.18345595     11.58075494     -0.00000000
    6200       28.26896070     11.58067843     -0.00000000
    6300       28.35447952     11.58058972     -0.00000000
    6400       28.44002022     11.58049159     -0.00000000
    6500       28.52554704     11.58036489     -0.00000000
    6600       28.61110874     11.58023833     -0.00000000
    6700       28.69665745     11.58012779     -0.00000000
    6800       28.78218777     11.58004985     -0.00000000
    6900       28.86774181     11.57997605     -0.00000000
    7000       28.95330505     11.57987222     -0.00000000
    7100       29.03888055     11.57977736     -0.00000000
    7200       29.12444657     11.57970028     -0.00000000
    7300       29.20999895     11.57960328     -0.00000000
    7400       29.29558947     11.57951129     -0.00000000
    7500       29.38116759     11.57941548     -0.00000000
    7600       29.46674981     11.57931626     -0.00000000
    7700       29.55236264     11.57922171     -0.00000000
    7800       29.63795856     11.57913610     -0.00000000
    7900       29.72355753     11.57904902     -0.00000000
    8000       29.80914954     11.57894149     -0.00000000
    8100       29.89473957     11.57882806     -0.00000000
    8200       29.98028513     11.57873910     -0.00000000
    8300       30.06586470     11.57860605     -0.00000000
    8400       30.15144618     11.57848739     -0.00000000
    8500       30.23705154     11.57838270     -0.00000000
    8600       30.32260511     11.57828961     -0.00000000
    8700       30.40822453     11.57815243     -0.00000000
    8800       30.49384205     11.57802203     -0.00000000
    8900       30.57944873     11.57787827     -0.00000000
    9000       30.66504943     11.57777906     -0.00000000
    9100       30.75063998     11.57764649     -0.00000000
    9200       30.83623529     11.57753577     -0.00000000
    9300       30.92187792     11.57742781     -0.00000000
    9400       31.00742856     11.57731819     -0.00000000
    9500       31.09302025     11.57717744     -0.00000000
    9600       31.17864103     11.57704163     -0.00000000
    9700       31.26427384     11.57689553     -0.00000000
    9800       31.34987183     11.57676148     -0.00000000
    9900       31.43548972     11.57664851     -0.00000000
   10000       31.52108921     11.57649589     -0.00000000
   10100       31.60665781     11.57636282     -0.00000000
   10200       31.69228526     11.57626295     -0.00000000
   10300       31.77789532     11.57614417     -0.00000000
   10400       31.86350197     11.57600939     -0.00000000
   10500       31.94912249     11.57585666     -0.00000000
   10600       32.03471781     11.57571779     -0.00000000
   10700       32.12034098     11.57559791     -0.00000000
   10800       32.20595515     11.57544550     -0.00000000
   10900       32.29155894     11.57530385     -0.00000000
   11000       32.37714900     11.57520935     -0.00000000
   11100       32.46274693     11.57507342     -0.00000000
   11200       32.54834562     11.57494556     -0.00000000
   11300       32.63393210     11.57480648     -0.00000000
   11400       32.71952451     11.57468465     -0.00000000
   11500       32.80511522     11.57454880     -0.00000000
   11600       32.89071957     11.57442653     -0.00000000
