   #Iter             <M>           <M^2>           <M^4>      U_{Binder}            \chi        C_v(tot)             <E>       <E_{exc}>       <E_{lsf}>
       1  2.60325457E+00  6.77693433E+00  4.59268390E+01  6.66666667E-01  4.09227218E-07 -3.93474917E+04 -3.79985444E+00 -3.73663152E+00  0.00000000E+00
      11  2.61925431E+00  6.86051814E+00  4.70673933E+01  6.66661822E-01  3.60653986E+04  6.09240482E+15 -3.83432867E+00 -3.76931354E+00  0.00000000E+00
      21  2.63198777E+00  6.92745520E+00  4.79922791E+01  6.66648304E-01  1.38012151E+05  2.24391925E+15 -3.83826570E+00 -3.77295550E+00  0.00000000E+00
      31  2.64418992E+00  6.99192521E+00  4.88921702E+01  6.66631537E-01  2.66928820E+05  1.15297190E+15 -3.83950753E+00 -3.77388265E+00  0.00000000E+00
      41  2.65409224E+00  7.04444922E+00  4.96310909E+01  6.66620815E-01  3.51698441E+05  6.99744377E+14 -3.84007950E+00 -3.77420152E+00  0.00000000E+00
      51  2.66179044E+00  7.08539759E+00  5.02104345E+01  6.66616367E-01  3.88740582E+05  4.68722942E+14 -3.84039120E+00 -3.77433714E+00  0.00000000E+00
      61  2.66763649E+00  7.11655382E+00  5.06529398E+01  6.66616636E-01  3.88963876E+05  3.35222722E+14 -3.84057817E+00 -3.77440975E+00  0.00000000E+00
      71  2.67192474E+00  7.13943350E+00  5.09786248E+01  6.66620143E-01  3.63354746E+05  2.51251394E+14 -3.84069776E+00 -3.77445570E+00  0.00000000E+00
      81  2.67489650E+00  7.15529450E+00  5.12045554E+01  6.66625546E-01  3.22260384E+05  1.95100743E+14 -3.84077822E+00 -3.77448772E+00  0.00000000E+00
      91  2.67677555E+00  7.16531801E+00  5.13471797E+01  6.66631623E-01  2.75291358E+05  1.55763877E+14 -3.84083476E+00 -3.77451115E+00  0.00000000E+00
     101  2.67778201E+00  7.17067589E+00  5.14231058E+01  6.66637410E-01  2.30168375E+05  1.27171473E+14 -3.84087601E+00 -3.77452876E+00  0.00000000E+00
     111  2.67812504E+00  7.17248650E+00  5.14483208E+01  6.66642316E-01  1.91681649E+05  1.05755747E+14 -3.84090709E+00 -3.77454226E+00  0.00000000E+00
     121  2.67799296E+00  7.17175826E+00  5.14372866E+01  6.66646122E-01  1.61675818E+05  8.93100983E+13 -3.84093116E+00 -3.77455279E+00  0.00000000E+00
     131  2.67754565E+00  7.16934753E+00  5.14022859E+01  6.66648885E-01  1.39792290E+05  7.64120062E+13 -3.84095021E+00 -3.77456115E+00  0.00000000E+00
     141  2.67691222E+00  7.16594523E+00  5.13532135E+01  6.66650812E-01  1.24456308E+05  6.61120860E+13 -3.84096555E+00 -3.77456787E+00  0.00000000E+00
     151  2.67619218E+00  7.16208336E+00  5.12976712E+01  6.66652155E-01  1.13714081E+05  5.77577881E+13 -3.84097807E+00 -3.77457333E+00  0.00000000E+00
     161  2.67545859E+00  7.15815193E+00  5.12412178E+01  6.66653143E-01  1.05779317E+05  5.08889591E+13 -3.84098840E+00 -3.77457783E+00  0.00000000E+00
     171  2.67476039E+00  7.15441196E+00  5.11875636E+01  6.66653948E-01  9.93207486E+04  4.51737231E+13 -3.84099701E+00 -3.77458158E+00  0.00000000E+00
     181  2.67412736E+00  7.15102191E+00  5.11389539E+01  6.66654676E-01  9.34996213E+04  4.03679030E+13 -3.84100426E+00 -3.77458476E+00  0.00000000E+00
     191  2.67357482E+00  7.14806318E+00  5.10965371E+01  6.66655382E-01  8.78826441E+04  3.62886243E+13 -3.84101041E+00 -3.77458747E+00  0.00000000E+00
     201  2.67310705E+00  7.14555832E+00  5.10606246E+01  6.66656085E-01  8.23243832E+04  3.27967310E+13 -3.84101567E+00 -3.77458978E+00  0.00000000E+00
     211  2.67272140E+00  7.14349288E+00  5.10310037E+01  6.66656782E-01  7.68352825E+04  2.97848163E+13 -3.84102021E+00 -3.77459179E+00  0.00000000E+00
     221  2.67241046E+00  7.14182721E+00  5.10071042E+01  6.66657463E-01  7.14971026E+04  2.71689163E+13 -3.84102414E+00 -3.77459353E+00  0.00000000E+00
     231  2.67216446E+00  7.14050887E+00  5.09881751E+01  6.66658115E-01  6.64009434E+04  2.48826271E+13 -3.84102759E+00 -3.77459505E+00  0.00000000E+00
     241  2.67197296E+00  7.13948219E+00  5.09734200E+01  6.66658728E-01  6.16164591E+04  2.28728823E+13 -3.84103061E+00 -3.77459639E+00  0.00000000E+00
     251  2.67182564E+00  7.13869185E+00  5.09620480E+01  6.66659296E-01  5.71852962E+04  2.10968672E+13 -3.84103328E+00 -3.77459756E+00  0.00000000E+00
     261  2.67171267E+00  7.13808539E+00  5.09533098E+01  6.66659819E-01  5.31228669E+04  1.95197320E+13 -3.84103566E+00 -3.77459860E+00  0.00000000E+00
     271  2.67162557E+00  7.13761743E+00  5.09465565E+01  6.66660294E-01  4.94223920E+04  1.81128813E+13 -3.84103778E+00 -3.77459952E+00  0.00000000E+00
     281  2.67155723E+00  7.13724992E+00  5.09412441E+01  6.66660727E-01  4.60633904E+04  1.68526798E+13 -3.84103968E+00 -3.77460035E+00  0.00000000E+00
     291  2.67150175E+00  7.13695137E+00  5.09369227E+01  6.66661119E-01  4.30186517E+04  1.57194465E+13 -3.84104138E+00 -3.77460109E+00  0.00000000E+00
     301  2.67145524E+00  7.13670098E+00  5.09332942E+01  6.66661474E-01  4.02570846E+04  1.46966945E+13 -3.84104292E+00 -3.77460176E+00  0.00000000E+00
     311  2.67141451E+00  7.13648162E+00  5.09301139E+01  6.66661797E-01  3.77493624E+04  1.37705281E+13 -3.84104431E+00 -3.77460236E+00  0.00000000E+00
     321  2.67137728E+00  7.13628112E+00  5.09272072E+01  6.66662091E-01  3.54682337E+04  1.29291654E+13 -3.84104558E+00 -3.77460291E+00  0.00000000E+00
     331  2.67134211E+00  7.13609180E+00  5.09244642E+01  6.66662359E-01  3.33889086E+04  1.21625681E+13 -3.84104673E+00 -3.77460341E+00  0.00000000E+00
     341  2.67130830E+00  7.13590986E+00  5.09218302E+01  6.66662604E-01  3.14890593E+04  1.14621382E+13 -3.84104779E+00 -3.77460387E+00  0.00000000E+00
     351  2.67127563E+00  7.13573408E+00  5.09192871E+01  6.66662828E-01  2.97487979E+04  1.08204780E+13 -3.84104875E+00 -3.77460429E+00  0.00000000E+00
     361  2.67124372E+00  7.13556252E+00  5.09168073E+01  6.66663034E-01  2.81511812E+04  1.02311988E+13 -3.84104964E+00 -3.77460467E+00  0.00000000E+00
     371  2.67121264E+00  7.13539544E+00  5.09143940E+01  6.66663224E-01  2.66809111E+04  9.68875191E+12 -3.84105045E+00 -3.77460503E+00  0.00000000E+00
     381  2.67118246E+00  7.13523327E+00  5.09120530E+01  6.66663399E-01  2.53246104E+04  9.18830609E+12 -3.84105120E+00 -3.77460536E+00  0.00000000E+00
