Clus. ind.  iatom  coord_x  coord_y  coord_z  type
     1    1621     21.210000   12.246000    0.000000     1
     2    1623     22.624000   12.246000    0.000000     2
     3    1543     22.270500   11.633700    0.000000     3
     4    1463     21.917000   11.021400    0.000000     4
     5    1702     22.270500   12.858300    0.000000     5
     6    1622     21.917000   12.246000    0.000000     6
     7    1542     21.563500   11.633700    0.000000     7
     8    1462     21.210000   11.021400    0.000000     8
     9    1781     21.917000   13.470600    0.000000     9
    10    1701     21.563500   12.858300    0.000000    10
    11    1541     20.856500   11.633700    0.000000    11
    12    1461     20.503000   11.021400    0.000000    12
    13    1780     21.210000   13.470600    0.000000    13
    14    1700     20.856500   12.858300    0.000000    14
    15    1620     20.503000   12.246000    0.000000    15
    16    1540     20.149500   11.633700    0.000000    16
    17    1779     20.503000   13.470600    0.000000    17
    18    1699     20.149500   12.858300    0.000000    18
    19    1619     19.796000   12.246000    0.000000    19
    20    1661     49.490000   12.246000    0.000000     1
    21    1663     50.904000   12.246000    0.000000     2
    22    1583     50.550500   11.633700    0.000000     3
    23    1503     50.197000   11.021400    0.000000     4
    24    1742     50.550500   12.858300    0.000000     5
    25    1662     50.197000   12.246000    0.000000     6
    26    1582     49.843500   11.633700    0.000000     7
    27    1502     49.490000   11.021400    0.000000     8
    28    1821     50.197000   13.470600    0.000000     9
    29    1741     49.843500   12.858300    0.000000    10
    30    1581     49.136500   11.633700    0.000000    11
    31    1501     48.783000   11.021400    0.000000    12
    32    1820     49.490000   13.470600    0.000000    13
    33    1740     49.136500   12.858300    0.000000    14
    34    1660     48.783000   12.246000    0.000000    15
    35    1580     48.429500   11.633700    0.000000    16
    36    1819     48.783000   13.470600    0.000000    17
    37    1739     48.429500   12.858300    0.000000    18
    38    1659     48.076000   12.246000    0.000000    19
